Country,Region,Region ID,Population
US,Texas,US - Texas,"28,995,881"
US,Utah,US - Utah,"3,205,958"
US,Vermont,US - Vermont,"623,989"
US,Virgin Islands,US - Virgin Islands,"104,914"
US,Virginia,US - Virginia,"8,535,519"
US,Washington,US - Washington,"7,614,893"
US,West Virginia,US - West Virginia,"1,787,145"
US,Wisconsin,US - Wisconsin,"5,822,434"
US,Wyoming,US - Wyoming,"578,759"
Uzbekistan,,Uzbekistan,"30,565,411"
Vanuatu,,Vanuatu,"298,333"
Venezuela,,Venezuela,"28,644,603"
Vietnam,,Vietnam,"98,721,275"
Virgin Islands,,Virgin Islands,"106,235"
Wallis and Futuna,,Wallis and Futuna,"15,854"
West Bank,,West Bank,"2,900,034"
Western Sahara,,Western Sahara,"652,271"
Yemen,,Yemen,"29,884,405"
Zambia,,Zambia,"17,426,623"
Zimbabwe,,Zimbabwe,"14,546,314"
Australia,From Diamond Princess,Australia - From Diamond Princess,0
Cruise Ship,Diamond Princess,Cruise Ship - Diamond Princess,0
Canada,Grand Princess,Canada - Grand Princess,0
Palestine,,Palestine,5052000
North Ireland,,North Ireland,"1,882,000"
Germany,Bavaria,Germany - Bavaria,"13,000,000"
